time,seconds_elapsed,z,y,x
1782941987187852000,0.07285205078125,0.25141104806065556,-1.3666761832341552,0.4684129729758948
1782941987197837000,0.082837158203125,0.2684866860240698,-1.3966329300805926,0.5029212091142311
1782941987207823400,0.0928232421875,0.33918519310355183,-1.4261431022033095,0.5765775430859997
1782941987217808100,0.10280810546875,0.3429202879786491,-1.427142780765146,0.551960988223739
1782941987227793200,0.112793212890625,0.4236702334731817,-1.3629226759195328,0.48390411822684104
1782941987237778200,0.122778076171875,0.555954551371932,-1.185305982061848,0.46536275509241964
1782941987247763200,0.13276318359375,0.5711112039715052,-0.9509342585422098,0.4431816837487742
1782941987257748200,0.142748291015625,0.4001175084501505,-0.7046614501528442,0.36878541812989857
1782941987267733000,0.15273291015625,0.12390402756631373,-0.50965259972848,0.3205960087720304
1782941987277718000,0.162718017578125,-0.16324293526411054,-0.45550636432543395,0.42291791726853695
1782941987287703300,0.172703369140625,-0.3895879311293363,-0.5291631001560018,0.6533044801421463
1782941987297688300,0.182688232421875,-0.5293687422633171,-0.6187197812341153,0.8645670576877892
1782941987307673000,0.192673095703125,-0.4762035537868738,-0.5852483042649924,0.9438879932925105
1782941987317658000,0.202658203125,-0.3423831123620272,-0.45175819077305496,0.9066745533160865
1782941987327644200,0.21264404296875,-0.34008360324800013,-0.3736603672225028,0.8297233425173908
1782941987337629200,0.222629150390625,-0.23429916974008083,-0.3770078510195017,0.7306432289537041
1782941987347614200,0.2326142578125,-0.04058803097605705,-0.3697024233769625,0.6983700218584388
1782941987357599200,0.24259912109375,0.006017652854323386,-0.3625504327304661,0.7573151819758117
1782941987367584300,0.252584228515625,0.022854221364855765,-0.39821284387260675,0.8098391499392688
1782941987377569300,0.2625693359375,0.1055319200515747,-0.4139443737506866,0.8906234360948204
1782941987387554000,0.272553955078125,0.1844692631661892,-0.3820361275102943,0.9954722692530602
1782941987397539000,0.2825390625,0.2302127772092819,-0.19582593896090983,0.947654360088706
1782941987407524000,0.292524169921875,0.26947277445197104,0.03942497854605317,0.881527179512754
1782941987417509000,0.302509033203125,0.22532383612394333,0.10299246470183133,0.8533536628212779
1782941987427494400,0.312494384765625,0.18183774561882018,0.02018529441654682,0.8168972517572343
1782941987437479200,0.322479248046875,0.1324503221154213,-0.17955818331427872,0.6646818333987147
1782941987447465200,0.33246533203125,0.3278267637431621,-0.2693983940415084,0.6902566388338803
1782941987457450200,0.3424501953125,0.3401940778851509,-0.28275647278651594,0.9866510302200913
1782941987467435000,0.35243505859375,0.06598667612671852,-0.30474165623188015,1.0943291685201226
1782941987477420000,0.362419921875,0.1817676029920578,-0.3006871201440692,1.0238236997947097
1782941987487405000,0.372405029296875,0.4230757747113704,-0.23804493213966488,0.6656271514248102
1782941987497390300,0.382390380859375,0.7675392004787921,-0.07538944137468934,0.2742288646715693
1782941987507375400,0.392375244140625,0.9857517432928085,0.20335881868377326,-0.0026400661800056696
1782941987517360000,0.402360107421875,0.7983452576309442,0.7578621483340859,-0.45701059487592427
1782941987527345200,0.41234521484375,0.42300446304082867,1.254250850407034,-0.8398378362312913
1782941987537330200,0.422330078125,0.4311246411323547,0.7676163573682308,0.06232671058075502
1782941987547315200,0.432315185546875,0.5513607938408851,0.18644348584860562,0.3541037991635501
1782941987557301200,0.44230126953125,0.804559894362092,-0.21515388589575885,0.17604544421928003
1782941987567286300,0.452286376953125,0.8179314171105623,-0.41274098931029435,0.06049706573449075
1782941987577271300,0.462271240234375,0.7077484563827514,-0.6418637793257832,0.024950499524362384
1782941987587256300,0.47225634765625,0.6237181740432978,-0.8719235579304396,0.13194764242344534
1782941987597241000,0.482240966796875,0.17438859865665435,-1.0211370910592377,0.7114102668259292
1782941987607226000,0.49222607421875,0.27290216437876225,-0.9953351258046924,1.2430074257284403
1782941987617211100,0.502211181640625,0.8375497252941131,-0.869395062366128,1.4832489911295472
1782941987627196200,0.512196044921875,0.8528671214133501,-0.7717261307746172,1.5630667703405021
1782941987637181200,0.52218115234375,0.5682979001164437,-0.6626438247650861,1.3901555507600307
1782941987647166200,0.532166259765625,0.6405787079513072,-0.2564683314502239,1.1466569563243538
1782941987657151200,0.542151123046875,0.05778232688307762,0.10084551580101252,0.6673403120182454
1782941987667136300,0.55213623046875,1.2057827337056397,0.21544103227406738,-0.9873594707503914
1782941987677121300,0.562121337890625,1.7585393658190964,-0.2836629201069474,-1.4697439051292835
1782941987687107300,0.572107421875,0.2892956652969122,-0.6480752011865377,-0.7070850971031933
1782941987697092400,0.58209228515625,-0.45455520108044145,-0.5689626476354896,0.15662355365697295
1782941987707077400,0.592077392578125,0.09160042533278465,-0.444170731318742,0.6495400130420923
1782941987717062400,0.6020625,0.534257098826766,-0.1515580504283309,1.1903336740307509
1782941987727047400,0.61204736328125,0.5507143126308918,-0.2737665261231363,1.0550864146731793
1782941987737032400,0.622032470703125,0.6438976232409477,-0.564300354912877,0.24711678493283687
1782941987747017500,0.632017578125,0.7515127793073654,-0.6736448189899324,-0.09488003152534365
1782941987757002200,0.642002197265625,0.5255974070310593,-0.8280776942022144,0.1977793380510062
1782941987766987300,0.6519873046875,-0.060036243289709086,-1.011013171929866,0.81146638581492
1782941987776972300,0.66197216796875,-0.28964696295261383,-0.8787422980345785,0.7493787629533558
1782941987786957300,0.671957275390625,-0.10013619848787784,-0.8519476684808731,0.15172748871110378
1782941987796942600,0.681942626953125,-0.039275194811820985,-0.8584224174529314,-0.5352037320271134
1782941987806928400,0.691928466796875,-0.26678397375941276,-0.34127924277335403,-0.8258339338634163
1782941987816913400,0.701913330078125,-0.8872434382677078,0.2101666720677167,-0.5594749075178057
1782941987826898400,0.7118984375,-2.0670213776230812,-0.28158260670155283,0.3852955676976591
1782941987836883200,0.72188330078125,-2.048507231289148,0.12983743620328606,-0.2859937376746908
1782941987846868200,0.7318681640625,-4.205929010805487,0.8553191176753491,-0.3388158848671242
1782941987856853500,0.741853515625,-4.815599370273947,-0.3703651250693947,0.6653239306945353
1782941987866838500,0.751838623046875,0.10597732573151587,-0.08470193452332168,-0.8811867685772478
1782941987876823600,0.761823486328125,0.3480816162645817,0.24027174134366214,-1.598498733727634
1782941987886808300,0.771808349609375,1.106367835229635,-0.8820122596159576,-0.8650675545558333
1782941987896793300,0.78179345703125,-0.17103285848796368,-0.7692579140301793,-1.7935963584139942
1782941987906778400,0.7917783203125,-5.150982833006978,0.045743733238801355,-0.06319733766913414
1782941987916763400,0.801763427734375,-2.626054605787992,0.24613968352898954,0.11661233618818223
1782941987926749400,0.81174951171875,-2.289597376343608,0.23248225651122628,-0.4831576837737113
1782941987936734500,0.821734375,-1.9352508544653653,0.18171740717478096,-1.450292039553821
1782941987946719500,0.831719482421875,-1.8435288485795258,0.7037946041904389,-2.2044087177492675
1782941987956704300,0.841704345703125,-1.9976333686202763,0.9853132057450711,-2.051732330815494
1782941987966689300,0.851689208984375,-2.13498432225883,0.9484213989384472,-1.95211109611243
1782941987976674300,0.86167431640625,-2.3656892668992278,0.7881658089220523,-1.967958069063723
1782941987986659300,0.871659423828125,-2.460163201841712,-0.0834291929074563,-2.2994236277006563
1782941987996644600,0.88164453125,-3.3069846133500334,-0.6862998640321195,-2.8899726687222715
1782941988006629400,0.89162939453125,-2.601650232371688,-1.4171803358078001,-2.932511541505158
1782941988016614400,0.901614501953125,0.17439152126610277,-0.9343218541763723,-0.44792664978615937
1782941988026599400,0.911599365234375,1.165531971859932,0.36085225051045416,1.2911769978746772
1782941988036584400,0.92158447265625,2.01170748668015,0.7640104418307543,0.7749820638306438
1782941988046570200,0.9315703125,2.6451544430553913,0.2998476005800068,-0.47806379470080135
1782941988056555300,0.94155517578125,2.8896617030769587,-0.38825405217707154,-1.1137427479118107
1782941988066540500,0.95154052734375,3.280350288924575,-1.0184032821811735,-1.08903325406909
1782941988076525600,0.961525634765625,3.6710377057284114,-1.077454021564871,-0.8569938459545373
1782941988086510300,0.97151025390625,3.3412317508667706,-0.4664395540110767,-0.4499938845142722
1782941988096495400,0.981495361328125,2.6144050845265387,0.2630037245683372,0.5041179811507464
1782941988106480400,0.99148046875,1.7390087359189985,0.6274753346197307,1.2007931087248027
1782941988116465400,1.00146533203125,0.5698457140803337,0.6621393823742866,1.3983169376447795
1782941988126450200,1.0114501953125,0.43592882654368875,0.4906700321651995,1.3618185140699148
1782941988136435200,1.021435302734375,1.0581021092325449,0.2439014030829072,0.9206191997773945
1782941988146420500,1.03142041015625,1.6607435929775236,0.02617942026481032,0.8780009781479835
