time,seconds_elapsed,z,y,x
1782853743038357800,0.074357666015625,1.909232616111636,-0.8143881915457546,-0.5444084174197167
1782853743048342800,0.0843427734375,2.220634899276495,-0.8418652504056692,-0.19822317282836882
1782853743058327800,0.094327880859375,2.544718384838104,-0.8664546980652957,-0.03413074459545314
1782853743068311800,0.104311767578125,2.9398054979056116,-0.9154903855215758,-0.031215332072786987
1782853743078296800,0.114296875,3.233147808244824,-0.9696807523272931,-0.12500048103351144
1782853743088280800,0.12428076171875,3.3706893160194156,-1.0619349653936923,-0.19867851538043468
1782853743098265900,0.134265869140625,3.4233518156707285,-1.1900905129246413,-0.17206958112455903
1782853743108249900,0.144249755859375,3.501198440939188,-1.2953469770357011,-0.18584705432541668
1782853743118235000,0.15423486328125,3.5716193001210685,-1.3038266360893844,-0.2165261240970343
1782853743128220000,0.164219970703125,3.515569496119022,-1.2680986123651266,-0.2254519925482571
1782853743138204000,0.174203857421875,3.3312861109137533,-1.2701811177276074,-0.24374562799930571
1782853743148189000,0.18418896484375,3.041885816198587,-1.2877118059821426,-0.25491364935413
1782853743158173000,0.1941728515625,2.748390361124277,-1.2671648386463523,-0.201272367798537
1782853743168157700,0.20415771484375,2.410812603217363,-1.217962708581984,-0.12362353012450039
1782853743178142000,0.214141845703125,2.099149623289704,-1.134409542234987,-0.0345740313835442
1782853743188126700,0.224126708984375,1.7468641255944966,-0.9555609684947878,-0.017616759102791545
1782853743198110700,0.23411083984375,1.3137240529865026,-0.7228484834242612,-0.02247040967904031
1782853743208095700,0.244095703125,0.8816454721301794,-0.4363320005171001,0.013671345945261417
1782853743218080800,0.254080810546875,0.48225627795457837,-0.13673771711103616,0.03636577363852411
1782853743228064800,0.264064697265625,0.1614320864498615,0.04129457181021571,-0.010148834374919534
1782853743238049800,0.2740498046875,0.05146890595257282,0.1881013360582292,-0.058866651521064337
1782853743248033800,0.28403369140625,-0.07994798146188259,0.32746362951919433,0.015466997190378605
1782853743258018800,0.294018798828125,-0.32479835583269595,0.40428113093562423,0.2028161631744355
1782853743268002800,0.3040029296875,-0.4848889645457268,0.40842765615582466,0.46415765361897643
1782853743277987800,0.31398779296875,-0.6677268271178006,0.3473082938045263,0.8002742529321462
1782853743287972900,0.323972900390625,-0.924423706626892,0.2870607458516955,1.00964422166422
1782853743297956600,0.33395654296875,-0.9803618669480085,0.27695100137814876,1.0968830907866358
1782853743307942000,0.34394189453125,-1.0743126547992228,0.3514914247080683,1.1080397870298475
1782853743317926000,0.35392578125,-1.3063479712605475,0.4963213359251618,0.9346987246647477
1782853743327911000,0.363910888671875,-1.6345897455453873,0.6951531787037849,0.5987326397381723
1782853743337895000,0.37389501953125,-1.856732613545656,0.7703283928059041,0.25232114864289756
1782853743347880000,0.3838798828125,-1.722346354931593,0.6454664799928664,0.059792789922654625
1782853743357865000,0.393864990234375,-1.6259920130699872,0.45039588944390413,-0.021354045934975144
1782853743367849000,0.403848876953125,-1.6875129419595003,0.2517467828210443,-0.032242227435112
1782853743377833700,0.413833740234375,-1.8069459615916013,0.13694186138100922,0.10346329708397388
1782853743387818000,0.42381787109375,-2.0112235025554894,0.1736996665444225,0.29853081889301536
