time,seconds_elapsed,z,y,x
1782853724240882000,0.0838818359375,2.5097131224304436,-1.2850212517239152,-0.1381401312548667
1782853724250867000,0.093866943359375,2.3324942687839267,-1.17922710053958,-0.16025011012367904
1782853724260851000,0.103850830078125,2.261311777579784,-1.067663718304038,-0.2611995977558195
1782853724270836200,0.113836181640625,2.022662595936656,-1.0196182109288872,-0.25071261746771634
1782853724280820000,0.123820068359375,1.5778315010130404,-1.066474654649943,-0.15810096926577388
1782853724290805000,0.133804931640625,1.197180909577012,-1.0817056876599789,-0.14456855686716735
1782853724300790000,0.1437900390625,0.8960866699367761,-1.0607396181292832,-0.14300189207233488
1782853724310774000,0.15377392578125,0.5243249028772116,-1.027349828094244,-0.12249065363705157
1782853724320759000,0.163759033203125,0.019376900643110276,-1.0172017974369227,-0.07565364526882767
1782853724330743000,0.173742919921875,-0.30549276686012744,-1.0943279264111072,-0.0978217110004276
1782853724340728000,0.18372802734375,-0.43909225901067256,-1.0800849545903504,-0.11418920069448649
1782853724350713000,0.193713134765625,-0.6783908444732427,-0.7919367788281291,-0.08573105837535112
1782853724360697000,0.203697021484375,-0.768160547247529,-0.4401183871880173,0.0031759266223758457
1782853724370682000,0.21368212890625,-0.8136018634736537,-0.26085809084177014,0.10014924063254148
1782853724380666400,0.223666259765625,-0.8804027785927057,-0.249145660411939,0.2520757225144654
1782853724390651400,0.2336513671875,-1.042331124126911,-0.35085261534787715,0.4727040942985564
1782853724400635400,0.243635498046875,-1.217999825721979,-0.39473018938861787,0.605292801971361
1782853724410620400,0.253620361328125,-1.3826234016895294,-0.3272936067145318,0.6288994491387159
1782853724420605400,0.26360546875,-1.5104168379098175,-0.2824432421188801,0.6038515171218664
1782853724430589400,0.27358935546875,-1.7360095541030167,-0.295609086227417,0.567601807611063
1782853724440574500,0.283574462890625,-2.177269804802537,-0.2596715844709426,0.5247727927751838
1782853724450558500,0.293558349609375,-2.5155951662063596,-0.23762970240227876,0.46065183745510874
1782853724460543500,0.30354345703125,-2.6082301952838898,-0.25809220632500945,0.37731483460944143
1782853724470527500,0.313527587890625,-2.7084429661393163,-0.2808426750544458,0.3703997945239767
1782853724480512300,0.32351220703125,-2.663932208761573,-0.2541343355447054,0.36931452003791926
1782853724490497300,0.333497314453125,-2.6660961087971926,-0.08273724685423076,0.2850640190765261
1782853724500481300,0.343481201171875,-2.763758610647917,0.11867021856606005,0.21569025779478251
1782853724510466300,0.35346630859375,-2.8008669828146693,0.23617329304888843,0.11431666299905627
1782853724520450300,0.3634501953125,-2.7241128289580345,0.16896482004225252,0.044234022795595226
1782853724530435600,0.373435546875,-2.7296207787245512,0.07695457179956137,0.06045512628890574
1782853724540420600,0.383420654296875,-2.6038345906734466,0.07346417240053414,0.14559000886939466
1782853724550404600,0.393404541015625,-2.2209558017939326,0.08031140794679523,0.30193200563862915
1782853724560389600,0.4033896484375,-1.9237305125415325,0.1301106271214783,0.37721093584354964
1782853724570373600,0.41337353515625,-1.7936925122648477,0.27247012963704764,0.40013241375833747
1782853724580358400,0.4233583984375,-1.6617957323789596,0.39899354592151937,0.35739703202266243
1782853724590342400,0.43334228515625,-1.4702414793878793,0.4310854781657457,0.26413820849098263
